client;xknx;2.0.0
router;ip.router;1.0.0
repeater;linienkoppler.atelier;1.1.0
switch;atelier.carport;1.1.50
actor;atelier;1.1.5
switch;atelier.haus;1.1.4
weather;wetterstation;1.1.7
repeater;liniekoppler.haus;1.2.0  
switch;schlafzimmer.bett.rechts;1.2.50 
switch;schlafzimmer.tür;1.2.51 
switch;büro.tür;1.2.52 
switch;bad.og;1.2.54 
switch;gästezimmer.tür;1.2.53 
switch;treppe.eg;1.2.55 
switch;garderobe.links;1.2.56 
switch;garderobe.rechts;1.2.57 
switch;kochstelle.rechts;1.2.58 
switch;ablage.oben;1.2.59 
switch;ablage.unten;1.2.60 
switch;wohnzimmer.fenster;1.2.61 
switch;waschküche.reduit;1.2.62 
switch;kochstelle.links;1.2.63 
switch;schlafzimmer.bett.links;1.2.64 
presence;gang.eg.präsenz;1.2.71 
presence;waschküche.präsenz;1.2.72 
presence;gang.og.präsenz;1.2.73 
presence;wc.eg.präsenz;1.2.70 
actor;reserve5S;1.2.5  
actor;licht.technik.aussen;1.2.6  
actor;licht.og;1.2.7  
actor;licht.eg;1.2.8  
actor;jalousie.og;1.2.21 
actor;jalousie.eg;1.2.20 
switch;klingel.eingang;1.2.65 
actor;reserve;1.2.1  
device;loxone;1.0.1
device;simulator;1.1.6
